timestamp,can_id_hex,dlc,payload_hex
2026-08-20 20:39:19,0x100,1,12
2026-08-20 20:39:19,0x101,2,0350
2026-08-20 20:39:19,0x102,1,37
2026-08-20 20:39:20,0x100,1,0d
2026-08-20 20:39:20,0x101,2,033b
2026-08-20 20:39:20,0x102,1,37
2026-08-20 20:39:21,0x100,1,0d
2026-08-20 20:39:21,0x101,2,0334
2026-08-20 20:39:21,0x102,1,36
2026-08-20 20:39:22,0x100,1,0f
2026-08-20 20:39:22,0x101,2,0377
2026-08-20 20:39:22,0x102,1,35
2026-08-20 20:39:23,0x100,1,12
2026-08-20 20:39:23,0x101,2,03a2
2026-08-20 20:39:23,0x102,1,36
2026-08-20 20:39:24,0x100,1,11
2026-08-20 20:39:24,0x101,2,03e5
2026-08-20 20:39:24,0x102,1,36
2026-08-20 20:39:25,0x100,1,0d
2026-08-20 20:39:25,0x101,2,0385
2026-08-20 20:39:25,0x102,1,35
2026-08-20 20:39:26,0x100,1,0e
2026-08-20 20:39:26,0x101,2,036d
2026-08-20 20:39:26,0x102,1,35
2026-08-20 20:39:27,0x100,1,0d
2026-08-20 20:39:27,0x101,2,0320
2026-08-20 20:39:27,0x102,1,34
2026-08-20 20:39:28,0x100,1,0e
2026-08-20 20:39:28,0x101,2,0320
2026-08-20 20:39:28,0x102,1,35
2026-08-20 20:39:29,0x100,1,0b
2026-08-20 20:39:29,0x101,2,0320
2026-08-20 20:39:29,0x102,1,35
2026-08-20 20:39:30,0x100,1,0a
2026-08-20 20:39:30,0x101,2,0320
2026-08-20 20:39:30,0x102,1,35
2026-08-20 20:39:31,0x100,1,07
2026-08-20 20:39:31,0x101,2,0320
2026-08-20 20:39:31,0x102,1,34
2026-08-20 20:39:32,0x100,1,06
2026-08-20 20:39:32,0x101,2,0347
2026-08-20 20:39:32,0x102,1,34
2026-08-20 20:39:33,0x100,1,05
2026-08-20 20:39:33,0x101,2,0320
2026-08-20 20:39:33,0x102,1,33
2026-08-20 20:39:34,0x100,1,06
2026-08-20 20:39:34,0x101,2,0320
2026-08-20 20:39:34,0x102,1,33
2026-08-20 20:39:35,0x100,1,09
2026-08-20 20:39:35,0x101,2,03a7
2026-08-20 20:39:35,0x102,1,33
2026-08-20 20:39:36,0x100,1,0a
2026-08-20 20:39:36,0x101,2,0320
2026-08-20 20:39:36,0x102,1,33
2026-08-20 20:39:37,0x100,1,08
2026-08-20 20:39:37,0x101,2,0354
2026-08-20 20:39:37,0x102,1,32
2026-08-20 20:39:38,0x100,1,03
2026-08-20 20:39:38,0x101,2,0361
2026-08-20 20:39:38,0x102,1,31
2026-08-20 20:39:39,0x100,1,02
2026-08-20 20:39:39,0x101,2,0320
2026-08-20 20:39:39,0x102,1,31
2026-08-20 20:39:40,0x100,1,06
2026-08-20 20:39:40,0x101,2,0320
2026-08-20 20:39:40,0x102,1,31
2026-08-20 20:39:41,0x100,1,0b
2026-08-20 20:39:41,0x101,2,0348
2026-08-20 20:39:41,0x102,1,30
2026-08-20 20:39:42,0x100,1,0b
2026-08-20 20:39:42,0x101,2,0320
